MUNICIPIO,ISIC,ESTWORKERS
2101,'6420,515
2101,'6519,60
2101,'6592,220
2101,'6599,35
2101,'6602,15
2101,'6719,5
2101,'6720,10
2101,'7010,180
2101,'7020,320
2101,'7111,10
2101,'7250,5
2101,'7411,10
2101,'7412,5
2101,'7414,5
2101,'7421,170
2101,'7430,55
2101,'7492,335
2101,'7494,5
2101,'7499,45
2101,'8010,100
2101,'8022,210
2101,'8090,30
2101,'8511,525
2101,'8520,15
2101,'9111,30
2101,'9120,10
2101,'9191,5
2101,'9213,5
2101,'9214,5
2101,'9219,5
2101,'9220,5
2101,'9309,5
2102,'5231,5
2103,'0113,30
2103,'1422,75
2103,'1514,30
2103,'1541,30
2103,'1554,10
2103,'1711,5
2103,'1723,5
2103,'1810,5
2103,'2021,75
2103,'2022,30
2103,'2101,60
2103,'2221,40
2103,'2320,175
2103,'2413,405
2103,'2423,175
2103,'2424,175
2103,'2429,175
2103,'2520,165
2103,'2691,75
2103,'2695,5
2103,'2699,30
2103,'2811,30
2103,'2899,70
2103,'3190,30
2103,'3210,475
2103,'3410,5
2103,'3511,30
2103,'3699,30
2103,'4520,240
2103,'5010,35
2103,'5020,30
2103,'5030,40
2103,'5040,180
2103,'5050,30
2103,'5122,480
2103,'5131,135
2103,'5141,5
2103,'5150,5
2103,'5190,150
2103,'5220,30
2103,'5231,30
2103,'5233,175
2103,'5234,70
2103,'5239,5
2103,'5259,5
2103,'5520,305
2103,'6021,80
2103,'6022,30
2103,'6023,30
2103,'6210,30
2103,'6302,90
2103,'6303,330
2103,'6304,10
2103,'6309,175
2103,'6592,15
2103,'6719,5
2103,'7010,5
2103,'7020,35
2103,'7411,30
2103,'7414,30
2103,'7421,60
2103,'7430,5
2103,'7493,5
2103,'7499,10
2103,'8511,235
2103,'9111,40
2103,'9120,35
2103,'9191,175
2103,'9302,5
2104,'5110,5
2104,'5231,10
2104,'5234,5
2105,'1513,300
2105,'1554,30
2105,'2102,30
2105,'2423,30
2105,'2520,30
2105,'2811,35
2105,'3699,30
2105,'4520,5
2105,'5190,5
2105,'5231,15
2105,'8511,5
2106,'5040,30
2107,'1711,30
2107,'2101,75
2107,'2413,350
2107,'2899,300
2107,'3210,300
2107,'5141,5
2107,'5149,5
2107,'5231,5
2107,'5234,35
2107,'5239,5
2107,'6021,30
2107,'6023,30
2201,'0112,5
2201,'1541,70
2201,'1554,60
2201,'2221,10
2201,'4520,5
2201,'5030,60
2201,'5050,5
2201,'5110,5
2201,'5122,35
2201,'5139,35
2201,'5141,30
2201,'5190,165
2201,'5211,60
2201,'5220,30
2201,'5231,55
2201,'5232,5
2201,'5233,20
2201,'5234,30
2201,'5510,10
2201,'6420,105
2201,'6519,30
2201,'6592,60
2201,'7020,5
2201,'7411,5
2201,'7421,5
2201,'8021,30
2201,'8090,5
2201,'8511,110
2203,'5231,5
2204,'5231,5
2205,'5050,5
2205,'5231,15
2205,'6420,30
2205,'8511,5
2301,'0111,35
2301,'0113,35
2301,'0140,5
2301,'1511,30
2301,'1513,30
2301,'1541,70
2301,'1542,175
2301,'1543,30
2301,'1551,105
2301,'1554,145
2301,'1600,180
2301,'1711,610
2301,'1712,175
2301,'1723,810
2301,'1810,2290
2301,'1911,30
2301,'1920,175
2301,'2010,30
2301,'2022,5
2301,'2102,30
2301,'2109,75
2301,'2211,30
2301,'2221,5
2301,'2320,30
2301,'2423,30
2301,'2520,425
2301,'2710,40
2301,'2811,5
2301,'2812,30
2301,'2892,5
2301,'2893,30
2301,'2899,70
2301,'3190,40
2301,'3210,300
2301,'3311,30
2301,'3691,825
2301,'3699,30
2301,'3720,75
2301,'4010,5
2301,'4510,75
2301,'4520,250
2301,'4530,5
2301,'5010,85
2301,'5020,20
2301,'5030,60
2301,'5040,5
2301,'5050,65
2301,'5121,5
2301,'5122,60
2301,'5131,10
2301,'5139,105
2301,'5143,35
2301,'5150,35
2301,'5190,395
2301,'5211,5
2301,'5219,330
2301,'5220,5
2301,'5231,180
2301,'5232,50
2301,'5233,25
2301,'5234,170
2301,'5239,95
2301,'5259,35
2301,'5260,35
2301,'5510,470
2301,'5520,115
2301,'6021,125
2301,'6023,30
2301,'6304,50
2301,'6309,20
2301,'6420,215
2301,'6592,55
2301,'6599,10
2301,'6602,5
2301,'6603,10
2301,'6720,35
2301,'7010,65
2301,'7020,305
2301,'7111,5
2301,'7129,5
2301,'7220,5
2301,'7250,30
2301,'7411,55
2301,'7412,10
2301,'7421,40
2301,'7494,5
2301,'7499,10
2301,'8010,230
2301,'8022,5
2301,'8030,300
2301,'8090,10
2301,'8511,725
2301,'9111,30
2301,'9219,10
2301,'9241,5
2301,'9249,30
2301,'9301,175
2301,'9302,305
2302,'5050,5
2302,'5190,5
2302,'6592,5
2304,'5190,5
2304,'5231,10
2304,'7421,30
2305,'1712,75
2401,'0111,235
2401,'0113,5
2401,'0140,30
2401,'1429,30
2401,'1511,30
2401,'1520,30
2401,'1531,175
2401,'1544,175
2401,'1554,30
2401,'1810,300
2401,'2424,5
2401,'2892,5
2401,'4520,5
2401,'4530,5
2401,'5010,100
2401,'5030,35
2401,'5121,35
2401,'5141,5
2401,'5143,5
2401,'5190,35
2401,'5211,5
2401,'5231,95
2401,'5232,15
2401,'5234,90
2401,'5239,10
2401,'5510,5
2401,'6021,35
2401,'6302,5
2401,'6420,30
2401,'6519,35
2401,'6592,115
2401,'7010,5
2401,'7020,5
2401,'7411,5
2401,'7421,85
2401,'8030,175
2401,'8511,90
2401,'8512,75
2401,'8519,5
2401,'9211,75
2402,'5231,5
2402,'6420,5
2403,'0111,60
2403,'0121,5
2403,'5050,30
2403,'5231,10
2403,'5239,30
2501,'0111,720
2501,'0112,10
2501,'0113,545
2501,'0122,1220
2501,'0130,30
2501,'0140,185
2501,'0200,10
2501,'1320,75
2501,'1410,30
2501,'1422,5
2501,'1429,60
2501,'1511,815
2501,'1513,30
2501,'1514,300
2501,'1520,135
2501,'1531,205
2501,'1533,5
2501,'1541,750
2501,'1543,5
2501,'1549,480
2501,'1551,180
2501,'1553,80
2501,'1554,455
2501,'1600,5110
2501,'1711,850
2501,'1712,355
2501,'1722,5
2501,'1723,2855
2501,'1729,5
2501,'1730,650
2501,'1810,4775
2501,'1820,575
2501,'1911,105
2501,'1920,1215
2501,'2010,30
2501,'2022,45
2501,'2023,135
2501,'2101,30
2501,'2102,140
2501,'2109,75
2501,'2211,30
2501,'2212,75
2501,'2219,35
2501,'2221,565
2501,'2222,140
2501,'2320,30
2501,'2411,65
2501,'2413,30
2501,'2421,60
2501,'2422,35
2501,'2423,425
2501,'2424,50
2501,'2429,115
2501,'2511,30
2501,'2519,60
2501,'2520,330
2501,'2610,75
2501,'2691,35
2501,'2692,30
2501,'2693,300
2501,'2694,405
2501,'2695,355
2501,'2696,210
2501,'2699,140
2501,'2710,755
2501,'2731,30
2501,'2811,845
2501,'2891,5
2501,'2893,80
2501,'2899,670
2501,'2919,510
2501,'2921,35
2501,'2929,35
2501,'3110,100
2501,'3130,330
2501,'3140,65
2501,'3190,265
2501,'3230,175
2501,'3320,85
2501,'3330,180
2501,'3410,60
2501,'3430,65
2501,'3610,635
2501,'3691,60
2501,'3699,230
2501,'4010,335
2501,'4020,30
2501,'4510,30
2501,'4520,1590
2501,'4530,275
2501,'4540,15
2501,'4550,90
2501,'5010,2010
2501,'5020,915
2501,'5030,1005
2501,'5040,5
2501,'5050,1055
2501,'5110,225
2501,'5121,435
2501,'5122,865
2501,'5131,480
2501,'5139,205
2501,'5141,120
2501,'5142,120
2501,'5143,575
2501,'5149,55
2501,'5150,695
2501,'5190,1185
2501,'5211,750
2501,'5219,80
2501,'5220,220
2501,'5231,1395
2501,'5232,1970
2501,'5233,1230
2501,'5234,1675
2501,'5239,1735
2501,'5240,40
2501,'5259,160
2501,'5260,35
2501,'5510,1015
2501,'5520,710
2501,'6021,1100
2501,'6022,50
2501,'6023,65
2501,'6030,5
2501,'6210,30
2501,'6220,35
2501,'6301,30
2501,'6302,45
2501,'6303,235
2501,'6304,555
2501,'6309,490
2501,'6420,2720
2501,'6519,360
2501,'6592,2095
2501,'6599,110
2501,'6602,180
2501,'6603,445
2501,'6711,5
2501,'6719,75
2501,'6720,205
2501,'7010,1495
2501,'7020,2575
2501,'7111,105
2501,'7129,10
2501,'7130,70
2501,'7210,35
2501,'7220,200
2501,'7250,5
2501,'7290,30
2501,'7310,10
2501,'7411,600
2501,'7412,95
2501,'7413,10
2501,'7414,65
2501,'7421,730
2501,'7430,445
2501,'7491,35
2501,'7492,855
2501,'7493,220
2501,'7494,75
2501,'7499,570
2501,'8010,510
2501,'8021,310
2501,'8022,85
2501,'8030,1010
2501,'8090,205
2501,'8511,2235
2501,'8512,45
2501,'8519,50
2501,'8520,130
2501,'8531,10
2501,'9111,145
2501,'9120,35
2501,'9191,30
2501,'9199,185
2501,'9211,15
2501,'9212,5
2501,'9213,20
2501,'9214,95
2501,'9219,110
2501,'9220,35
2501,'9232,75
2501,'9241,110
2501,'9249,435
2501,'9301,50
2501,'9302,110
2501,'9309,140
2502,'0113,5
2502,'0122,30
2502,'0140,30
2502,'1533,300
2502,'1549,300
2502,'1600,810
2502,'2023,175
2502,'2109,175
2502,'2610,30
2502,'2696,5
2502,'3610,30
2502,'4520,40
2502,'5190,30
2502,'6592,5
2503,'5231,5
2504,'0113,35
2504,'0122,35
2504,'0140,5
2504,'1531,300
2504,'1600,110
2504,'1711,5
2504,'2010,30
2504,'2022,105
2504,'2520,30
2504,'2699,5
2504,'2710,5
2504,'2893,30
2504,'3610,30
2504,'5020,30
2504,'5030,30
2504,'5050,30
2504,'5143,30
2504,'5190,40
2504,'5231,25
2504,'5234,35
2504,'5520,75
2504,'6592,5
2504,'8511,5
2505,'0121,5
2505,'1730,5
2505,'4030,30
2505,'5050,30
2505,'5231,10
2506,'1543,30
2506,'5050,5
2507,'1600,505
2507,'5231,5
2507,'6304,5
2601,'0140,5
2601,'1553,300
2601,'1554,5
2601,'2221,5
2601,'2520,75
2601,'5219,10
2601,'5231,40
2601,'5232,5
2601,'5234,5
2601,'6304,5
2601,'6420,60
2601,'6592,5
2601,'7010,5
2601,'8030,5
2601,'8511,35
2601,'9120,30
2602,'5231,5
2603,'1531,75
2603,'1554,5
2603,'5139,5
2603,'5231,10
2603,'5234,30
2701,'0111,255
2701,'0113,5
2701,'0121,30
2701,'0122,30
2701,'0140,60
2701,'1531,140
2701,'1541,60
2701,'1554,5
2701,'1600,300
2701,'1711,75
2701,'1712,175
2701,'1723,930
2701,'1810,330
2701,'2221,35
2701,'2695,30
2701,'2899,5
2701,'2929,30
2701,'4030,5
2701,'4520,5
2701,'5010,150
2701,'5030,35
2701,'5040,60
2701,'5050,65
2701,'5110,5
2701,'5121,260
2701,'5131,5
2701,'5150,35
2701,'5190,140
2701,'5211,5
2701,'5219,5
2701,'5220,60
2701,'5231,160
2701,'5232,10
2701,'5233,5
2701,'5234,35
2701,'5239,30
2701,'5259,5
2701,'5510,35
2701,'6021,30
2701,'6220,30
2701,'6304,5
2701,'6412,5
2701,'6420,135
2701,'6592,5
2701,'6599,5
2701,'7010,5
2701,'7020,35
2701,'7411,5
2701,'7412,5
2701,'7421,75
2701,'7499,5
2701,'8010,105
2701,'8511,145
2701,'9213,5
2701,'9302,5
2702,'0140,5
2702,'1810,300
2702,'2423,30
2702,'4020,5
2702,'5030,5
2702,'5050,5
2702,'5231,25
2702,'5239,5
2702,'6592,10
2702,'8511,35
2703,'0111,30
2703,'5231,10
2703,'5234,5
2703,'7020,5
2703,'8520,5
2801,'0111,35
2801,'1010,30
2801,'1513,30
2801,'1520,80
2801,'1541,5
2801,'1549,35
2801,'1554,75
2801,'1711,75
2801,'1723,300
2801,'1810,935
2801,'2010,30
2801,'2101,30
2801,'2221,10
2801,'2413,5
2801,'2693,180
2801,'2710,30
2801,'2811,35
2801,'2899,5
2801,'2919,35
2801,'3610,30
2801,'4520,125
2801,'5010,100
2801,'5020,60
2801,'5040,5
2801,'5050,70
2801,'5121,40
2801,'5122,30
2801,'5141,90
2801,'5143,5
2801,'5190,20
2801,'5211,15
2801,'5220,5
2801,'5231,110
2801,'5232,45
2801,'5233,10
2801,'5234,45
2801,'5239,85
2801,'5260,5
2801,'5510,45
2801,'5520,70
2801,'6021,30
2801,'6022,10
2801,'6304,5
2801,'6420,195
2801,'6519,110
2801,'6592,45
2801,'6719,5
2801,'7010,190
2801,'7020,75
2801,'7210,30
2801,'7492,65
2801,'8010,35
2801,'8021,30
2801,'8030,175
2801,'8090,30
2801,'8511,480
2801,'8531,30
2801,'9111,5
2801,'9309,5
2802,'0111,5
2802,'0121,30
2802,'1533,5
2802,'4520,5
2802,'5020,10
2802,'5050,5
2802,'5231,5
2802,'7010,5
2901,'0140,30
2901,'1554,30
2901,'2411,5
2901,'5040,5
2901,'5050,5
2901,'5110,30
2901,'5150,5
2901,'5231,5
2901,'5233,5
2901,'5239,5
2901,'5259,5
2901,'6021,5
2901,'6599,5
2901,'7020,5
2902,'1533,5
2902,'1554,5
2902,'5231,5
2903,'5131,5
2903,'5231,5
2904,'5231,20
3001,'0111,175
3001,'1520,75
3001,'1541,30
3001,'1810,205
3001,'4520,5
3001,'5010,35
3001,'5030,15
3001,'5110,5
3001,'5121,30
3001,'5220,30
3001,'5231,20
3001,'5233,30
3001,'5234,30
3001,'5239,30
3001,'5259,5
3001,'6420,10
3001,'6720,5
3001,'8511,35
3002,'0121,75
3002,'5110,75
3002,'6304,5
3101,'1541,110
3101,'5010,5
3101,'5121,30
3101,'5122,5
3101,'5141,30
3101,'5231,25
3101,'5239,30
3101,'6304,5
3101,'6420,35
3101,'8519,5
3102,'1554,30
3201,'0112,30
3201,'0113,10
3201,'0122,30
3201,'0140,195
3201,'1410,5
3201,'1429,5
3201,'1511,170
3201,'1512,30
3201,'1513,350
3201,'1520,340
3201,'1531,30
3201,'1533,30
3201,'1541,305
3201,'1543,30
3201,'1544,5
3201,'1549,35
3201,'1551,175
3201,'1552,5
3201,'1553,40
3201,'1554,365
3201,'1711,470
3201,'1712,210
3201,'1721,35
3201,'1723,275
3201,'1730,305
3201,'1810,875
3201,'1820,10
3201,'1920,480
3201,'2010,40
3201,'2022,175
3201,'2101,360
3201,'2102,10
3201,'2109,60
3201,'2211,80
3201,'2219,75
3201,'2221,395
3201,'2222,75
3201,'2320,10
3201,'2411,205
3201,'2413,210
3201,'2421,5
3201,'2422,40
3201,'2423,195
3201,'2424,275
3201,'2429,185
3201,'2519,180
3201,'2520,350
3201,'2610,125
3201,'2691,70
3201,'2692,5
3201,'2693,35
3201,'2695,130
3201,'2710,35
3201,'2720,10
3201,'2731,180
3201,'2811,280
3201,'2812,5
3201,'2893,5
3201,'2899,45
3201,'2919,115
3201,'2921,5
3201,'2929,10
3201,'2930,15
3201,'3000,65
3201,'3110,30
3201,'3120,5
3201,'3140,5
3201,'3150,30
3201,'3190,415
3201,'3210,10
3201,'3220,5
3201,'3230,405
3201,'3311,105
3201,'3320,35
3201,'3430,310
3201,'3610,1170
3201,'3691,385
3201,'3693,305
3201,'3699,305
3201,'4010,335
3201,'4020,70
3201,'4030,30
3201,'4510,15
3201,'4520,1180
3201,'4530,315
3201,'4550,40
3201,'5010,400
3201,'5020,265
3201,'5030,735
3201,'5040,50
3201,'5050,420
3201,'5110,105
3201,'5121,15
3201,'5122,280
3201,'5131,215
3201,'5139,125
3201,'5141,315
3201,'5142,40
3201,'5143,215
3201,'5149,125
3201,'5150,100
3201,'5190,1160
3201,'5211,490
3201,'5219,205
3201,'5220,150
3201,'5231,1255
3201,'5232,490
3201,'5233,960
3201,'5234,1545
3201,'5239,620
3201,'5259,30
3201,'5260,175
3201,'5510,355
3201,'5520,545
3201,'6021,610
3201,'6022,50
3201,'6023,40
3201,'6030,5
3201,'6110,30
3201,'6220,80
3201,'6302,90
3201,'6303,280
3201,'6304,550
3201,'6309,450
3201,'6412,10
3201,'6420,1110
3201,'6519,305
3201,'6592,920
3201,'6599,65
3201,'6603,185
3201,'6719,110
3201,'6720,25
3201,'7010,385
3201,'7020,980
3201,'7111,60
3201,'7123,5
3201,'7130,5
3201,'7210,30
3201,'7220,345
3201,'7230,5
3201,'7250,5
3201,'7290,10
3201,'7411,60
3201,'7412,25
3201,'7414,50
3201,'7421,305
3201,'7430,175
3201,'7492,680
3201,'7493,25
3201,'7494,30
3201,'7499,130
3201,'8010,485
3201,'8022,80
3201,'8030,10
3201,'8090,440
3201,'8511,1060
3201,'8512,275
3201,'8519,330
3201,'8520,35
3201,'8531,35
3201,'8532,35
3201,'9000,5
3201,'9111,40
3201,'9191,10
3201,'9199,5
3201,'9213,5
3201,'9219,70
3201,'9220,300
3201,'9233,5
3201,'9241,30
3201,'9249,315
3201,'9301,30
3201,'9309,30
3202,'0111,5
3202,'0112,35
3202,'0113,5
3202,'0121,35
3202,'0122,5
3202,'0140,30
3202,'1422,30
3202,'1511,545
3202,'1513,5
3202,'1520,175
3202,'1533,35
3202,'1541,30
3202,'1549,180
3202,'1554,85
3202,'1600,175
3202,'1711,175
3202,'1712,35
3202,'1722,10
3202,'1730,60
3202,'1810,70
3202,'1820,30
3202,'1920,80
3202,'2010,205
3202,'2022,50
3202,'2023,5
3202,'2101,30
3202,'2102,110
3202,'2109,30
3202,'2211,250
3202,'2212,305
3202,'2219,110
3202,'2221,140
3202,'2230,30
3202,'2413,305
3202,'2422,35
3202,'2423,1510
3202,'2424,335
3202,'2429,95
3202,'2520,425
3202,'2610,515
3202,'2691,135
3202,'2693,5
3202,'2694,75
3202,'2695,630
3202,'2710,705
3202,'2720,30
3202,'2732,30
3202,'2811,40
3202,'2893,35
3202,'2899,165
3202,'2912,5
3202,'2919,20
3202,'2923,5
3202,'2929,70
3202,'3110,20
3202,'3140,75
3202,'3150,30
3202,'3190,30
3202,'3320,5
3202,'3430,80
3202,'3610,140
3202,'3699,125
3202,'4010,30
3202,'4020,5
3202,'4030,5
3202,'4520,730
3202,'4530,195
3202,'4540,40
3202,'4550,5
3202,'5010,420
3202,'5020,315
3202,'5030,75
3202,'5040,5
3202,'5050,845
3202,'5110,225
3202,'5121,150
3202,'5122,615
3202,'5131,625
3202,'5139,295
3202,'5141,310
3202,'5142,135
3202,'5143,565
3202,'5149,45
3202,'5150,60
3202,'5190,1560
3202,'5211,290
3202,'5219,110
3202,'5220,345
3202,'5231,350
3202,'5232,215
3202,'5233,185
3202,'5234,320
3202,'5239,240
3202,'5240,5
3202,'5259,40
3202,'5260,70
3202,'5510,180
3202,'5520,120
3202,'6021,35
3202,'6110,175
3202,'6220,30
3202,'6303,60
3202,'6304,20
3202,'6309,75
3202,'6420,165
3202,'6592,80
3202,'6599,5
3202,'6719,5
3202,'6720,40
3202,'7010,110
3202,'7020,155
3202,'7129,5
3202,'7130,5
3202,'7220,35
3202,'7250,40
3202,'7290,5
3202,'7310,5
3202,'7411,5
3202,'7412,10
3202,'7413,5
3202,'7414,5
3202,'7421,70
3202,'7430,20
3202,'7492,195
3202,'7493,105
3202,'7499,5
3202,'8010,165
3202,'8021,60
3202,'8090,35
3202,'8511,445
3202,'8512,15
3202,'8519,20
3202,'8531,30
3202,'8532,30
3202,'9000,5
3202,'9111,30
3202,'9120,5
3202,'9199,30
3202,'9219,5
3202,'9241,30
3202,'9302,405
3202,'9309,30
3203,'0111,235
3203,'0113,65
3203,'0121,60
3203,'0122,260
3203,'0140,40
3203,'1010,30
3203,'1320,5
3203,'1410,30
3203,'1421,5
3203,'1513,175
3203,'1514,175
3203,'1520,80
3203,'1531,240
3203,'1541,230
3203,'1543,235
3203,'1549,195
3203,'1551,380
3203,'1553,90
3203,'1554,180
3203,'1711,170
3203,'1712,305
3203,'1721,5
3203,'1722,5
3203,'1723,805
3203,'1729,5
3203,'1810,220
3203,'1912,30
3203,'1920,90
3203,'2010,240
3203,'2022,70
3203,'2101,210
3203,'2102,30
3203,'2211,5
3203,'2219,15
3203,'2221,465
3203,'2222,720
3203,'2320,75
3203,'2330,30
3203,'2411,65
3203,'2412,300
3203,'2413,80
3203,'2422,305
3203,'2423,1680
3203,'2424,275
3203,'2429,175
3203,'2519,110
3203,'2520,1255
3203,'2610,80
3203,'2691,210
3203,'2692,10
3203,'2693,60
3203,'2695,240
3203,'2696,60
3203,'2699,5
3203,'2710,460
3203,'2731,105
3203,'2811,425
3203,'2812,300
3203,'2893,5
3203,'2899,135
3203,'2919,60
3203,'2929,5
3203,'2930,70
3203,'3000,5
3203,'3110,190
3203,'3140,20
3203,'3190,520
3203,'3220,5
3203,'3230,10
3203,'3430,30
3203,'3610,265
3203,'3699,115
3203,'4010,110
3203,'4020,385
3203,'4510,40
3203,'4520,2175
3203,'4530,500
3203,'4540,65
3203,'4550,155
3203,'5010,900
3203,'5020,440
3203,'5030,1280
3203,'5040,80
3203,'5050,295
3203,'5110,165
3203,'5122,275
3203,'5131,75
3203,'5139,80
3203,'5141,545
3203,'5142,30
3203,'5143,305
3203,'5150,95
3203,'5190,460
3203,'5211,120
3203,'5219,35
3203,'5220,10
3203,'5231,715
3203,'5232,300
3203,'5233,625
3203,'5234,670
3203,'5239,660
3203,'5259,5
3203,'5260,160
3203,'5510,245
3203,'5520,565
3203,'6021,1255
3203,'6022,15
3203,'6023,95
3203,'6030,30
3203,'6110,180
3203,'6120,90
3203,'6220,275
3203,'6301,5
3203,'6302,465
3203,'6303,130
3203,'6304,160
3203,'6309,110
3203,'6412,35
3203,'6420,785
3203,'6519,135
3203,'6592,1365
3203,'6599,175
3203,'6603,5
3203,'6719,20
3203,'6720,65
3203,'7010,190
3203,'7020,905
3203,'7111,5
3203,'7112,30
3203,'7122,60
3203,'7129,5
3203,'7130,5
3203,'7220,25
3203,'7250,20
3203,'7290,30
3203,'7411,250
3203,'7412,45
3203,'7413,5
3203,'7414,20
3203,'7421,755
3203,'7430,220
3203,'7491,35
3203,'7492,900
3203,'7493,65
3203,'7494,30
3203,'7495,60
3203,'7499,85
3203,'8010,65
3203,'8021,5
3203,'8030,15
3203,'8090,95
3203,'8511,640
3203,'8512,70
3203,'8519,220
3203,'8520,80
3203,'8531,5
3203,'8532,5
3203,'9000,5
3203,'9111,340
3203,'9120,60
3203,'9191,100
3203,'9199,410
3203,'9211,35
3203,'9213,80
3203,'9214,5
3203,'9219,70
3203,'9231,35
3203,'9301,75
3203,'9302,60
3203,'9309,70
3204,'0140,330
3204,'1520,300
3204,'1541,35
3204,'1554,5
3204,'1711,75
3204,'1712,900
3204,'1730,5
3204,'1912,75
3204,'1920,300
3204,'2102,75
3204,'2320,30
3204,'2423,300
3204,'2424,175
3204,'2429,75
3204,'2520,110
3204,'2610,5
3204,'2710,5
3204,'2893,180
3204,'3190,305
3204,'3210,300
3204,'3230,300
3204,'3511,40
3204,'3691,305
3204,'3699,300
3204,'4010,5
3204,'4520,10
3204,'5010,5
3204,'5020,75
3204,'5050,30
3204,'5131,5
3204,'5139,5
3204,'5190,30
3204,'5220,5
3204,'5231,70
3204,'5232,10
3204,'5233,25
3204,'5234,85
3204,'5239,45
3204,'5510,205
3204,'5520,145
3204,'6021,20
3204,'6023,5
3204,'6220,205
3204,'6301,30
3204,'6303,215
3204,'6304,215
3204,'6309,105
3204,'6420,75
3204,'6592,140
3204,'7010,180
3204,'7020,15
3204,'7111,120
3204,'7129,5
3204,'7414,5
3204,'7430,5
3204,'7499,30
3204,'8090,175
3204,'8511,35
3204,'9120,5
3204,'9191,5
3206,'1551,175
3206,'1810,180
3206,'1920,75
3206,'4510,30
3206,'5122,175
3206,'5143,30
3206,'5231,55
3206,'5234,70
3206,'6220,30
3206,'7310,30
3206,'8511,335
3206,'8519,315
3207,'5219,75
3207,'5231,15
3207,'7414,175
