PROV,MUN,grossalary,occinc,frstsourcinc,yearsedu,CODIGO
1,01,2.97526107149,3.0836378176,1.45398625401,13.4642857143,101
2,01,1.32940363051,1.37876953311,0.712457659219,12.5294117647,201
2,02,1.82479673912,1.67799485022,0.190469473054,11.0,202
2,03,1.56405021119,0.534856548905,,14.0,203
2,04,1.41553553555,1.41513748842,0.392423276138,12.7142857143,204
2,05,1.26856586706,1.2662138561,0.104865322224,13.0769230769,205
2,06,1.15620945503,1.14489868182,0.892825489092,12.75,206
2,08,0.627464309539,0.721651190925,0.534856548905,12.7142857143,208
2,09,0.68265083203,0.681257667067,0.246512800455,11.4,209
3,01,1.16434317539,1.13327826359,0.595357156245,11.9615384615,301
3,02,8.11172898498,8.04933106971,,9.0,302
3,03,1.04614998196,1.16833399106,33.159838081,12.375,303
3,04,2.43883923368,2.22706841852,0.677526938553,12.8461538462,304
3,05,0.932375484708,0.930174501012,0.540508322065,12.0,305
4,01,1.48333608837,1.50153867126,4.36130837521,13.1012658228,401
4,02,0.718740882078,0.717752382269,0.349290383096,13.3333333333,402
4,03,1.02234503668,1.07281279131,0.226455404544,12.625,403
4,04,1.10611749656,1.095454689,0.544922132204,12.2352941176,404
4,05,1.31306220845,1.4335369607,0.343523436192,13.7368421053,405
4,06,1.16393667888,1.1628223944,0.903296949578,12.75,406
4,07,12.5539459364,12.4612169932,0.49148979371,11.4,407
4,09,3.34628118445,3.29489111119,0.29087634035,13.5,409
4,10,0.782185613578,0.775503144347,0.545999393674,11.0,410
4,11,2.719536674,2.71918915026,0.16761904868,14.0,411
5,01,1.37106824662,1.36860606357,1.34958154059,12.24,501
5,02,1.59380764443,1.58985825152,0.868128240199,12.0,502
5,03,1.00069118161,1.15170434169,0.546697313877,12.3125,503
5,05,2.52275355533,2.36795744829,2.43803868582,14.0,505
6,01,1.99410722686,2.01782796968,4.49949019932,12.4745762712,601
6,02,1.40430967107,1.39687945793,0.200170063428,12.0,602
6,03,1.88135927504,1.87040031988,1.33714137226,12.9230769231,603
6,04,1.58782649714,1.31339258446,0.292334455189,12.3333333333,604
6,05,1.23636146228,1.22298796309,0.382575994845,10.9166666667,605
6,06,0.689980247791,0.686621262035,0.463397217684,11.625,606
7,01,0.986447867735,0.983612115529,0.489792137986,11.3636363636,701
7,02,0.868721000013,0.801896307705,,11.0,702
7,04,1.06958359259,1.06958359259,0.133649384617,12.0,704
8,01,1.10874660388,1.13036876479,0.840907399216,12.1111111111,801
9,01,1.48618202569,1.48958835906,0.679254603806,12.2592592593,901
9,03,1.12948532854,0.70566943186,0.513632597154,10.8,903
9,04,2.09862655334,2.09516889485,1.78909495454,13.2,904
10,01,1.72508197609,1.57059342466,0.817826445023,12.875,1001
10,02,0.523939337421,0.566594158751,0.292691939084,11.7692307692,1002
10,05,2.19675462458,2.65785446532,0.564000512346,13.75,1005
11,01,2.29903368591,2.28702463915,1.0790029005,11.8550724638,1101
11,02,0.381085291095,0.380416720409,0.180915227667,9.5,1102
12,01,2.57186819362,2.20316171486,0.88497745931,13.9272727273,1201
12,02,1.70286633287,1.70286633287,0.182449964236,9.0,1202
12,03,1.7197317345,1.70508564894,0.93739955036,12.3783783784,1203
13,01,1.48759148302,1.49180099118,0.994358361339,12.5416666667,1301
13,02,1.55521999955,1.64688335281,1.70046469214,11.8823529412,1302
13,03,1.0964954072,1.09142381497,0.617886210794,12.2,1303
13,04,1.36561873087,1.3474854707,0.435411362823,12.0,1304
14,01,1.95544286898,1.97074762636,0.836910896873,12.8545454545,1401
14,02,1.35844477644,1.36269270576,0.334602265031,13.8518518519,1402
14,03,1.29052445125,1.31472498912,0.289316289302,11.0769230769,1403
14,04,0.979346705685,0.968709520494,0.186718002814,12.3333333333,1404
15,01,1.05824941919,1.05546036497,0.681210913395,11.125,1501
15,02,1.85075388991,1.83008548162,0.842640295232,12.5555555556,1502
15,03,1.69344462793,1.74817885156,58.3513693924,11.5,1503
15,04,0.781667991134,0.759364073981,0.15975254076,11.5,1504
15,05,1.34863730395,0.854163990805,0.148098439698,10.6666666667,1505
15,06,1.47438255643,1.44502583772,1.66617940094,11.1428571429,1506
16,01,1.38665466522,1.4324811054,0.546733637853,12.2142857143,1601
17,01,1.38744256263,1.15736205628,0.256352559266,11.9523809524,1701
17,02,1.47351357788,1.5779764743,0.493957867606,11.7142857143,1702
18,01,1.65581570501,1.59313749466,1.51877153473,12.6901408451,1801
18,04,1.02572377282,1.00369110641,0.624503652145,11.8947368421,1804
18,06,0.978345013513,0.957877341222,0.155108399182,12.4285714286,1806
18,07,0.74619006328,0.76901152823,0.834602836813,12.2857142857,1807
18,08,1.10023178526,1.18999910527,0.802050661339,12.5833333333,1808
19,01,1.22355864593,1.27485992191,13.6614294671,12.71875,1901
19,02,1.1856375146,1.27347069566,1.42294471462,11.0714285714,1902
19,03,1.409101889,1.37960973693,0.982993387714,11.1818181818,1903
20,01,2.40038147563,2.38708258205,0.304933668956,11.7222222222,2001
20,02,1.374715639,1.37299250045,0.610393363927,13.0,2002
20,03,1.53987840462,1.52893120961,0.363317379795,11.8125,2003
21,01,1.88334862845,1.88150625666,1.07805709412,12.5555555556,2101
21,02,1.27968590794,1.25820568382,0.269320768529,11.6153846154,2102
21,03,1.55661751223,1.52987825396,0.495993940513,12.0119047619,2103
21,04,2.32124768331,2.46562713562,1.34509607161,13.875,2104
21,05,1.56985469424,1.59164770127,1.22902133358,12.8484848485,2105
21,06,0.502913192766,0.500073200031,0.06797135309,10.625,2106
21,07,1.17475262136,1.29103348731,0.347138165159,12.25,2107
21,08,1.40763742191,1.37420888761,,10.5,2108
22,01,1.39522516749,1.26869514453,0.789049689858,12.9469026549,2201
22,02,1.622345797,1.622345797,,11.0,2202
22,03,1.19889038485,1.2872770013,1.18579330351,12.8571428571,2203
22,04,0.309483785627,0.308388231359,0.147825192314,12.0,2204
22,05,0.965400807551,0.961410057391,0.612154223296,12.5833333333,2205
22,06,2.28833161906,2.25046607064,0.960825328241,13.8571428571,2206
23,01,1.39297309172,1.3990809442,0.667513653192,12.0,2301
23,02,0.559078997035,0.538576464976,0.278626805321,11.75,2302
23,04,1.20074767847,1.18005484946,0.298193014518,12.2222222222,2304
23,05,1.07933096588,1.06024734665,0.224207514944,11.6666666667,2305
24,01,2.384426377,2.37452871548,2.24126434368,13.4285714286,2401
24,03,1.13659613389,1.13459078974,1.22563975208,13.0,2403
24,04,1.40647819536,1.51665804493,0.683898604638,12.4,2404
25,01,2.04373323454,2.12169399288,2.70573925443,12.8588709677,2501
25,02,1.44759536673,1.43583139611,0.351981704531,11.5714285714,2502
25,03,1.15007010802,1.14625690209,0.294737794865,10.6666666667,2503
25,05,3.56180813043,3.11685658944,1.2366327354,11.8888888889,2505
25,06,1.43329265272,1.41374041474,0.269055370095,10.7692307692,2506
25,07,1.78628760888,1.7671599738,0.743257239268,11.5454545455,2507
25,08,1.38073271978,1.32780272505,1.50728044788,13.5714285714,2508
25,09,0.81550275648,0.792283340425,0.133649384617,12.75,2509
26,01,1.43978853161,1.43454535092,1.21208289221,13.380952381,2601
26,02,1.68098435168,1.95366140371,0.200571205839,12.0,2602
26,03,2.03475280269,2.01274256885,0.467999480292,12.3333333333,2603
27,01,1.53077195367,1.51705940328,0.995289892095,12.6071428571,2701
27,02,1.42159633096,1.40552329804,1.14690319392,12.2321428571,2702
27,03,1.75452311735,1.78306973644,1.18966226084,12.6666666667,2703
28,01,1.45221819738,1.52838055012,1.0167955324,12.4512195122,2801
28,02,0.961246432824,0.958719656998,0.805372800788,12.0714285714,2802
28,03,1.90681266854,1.9368833405,1.08490040832,12.6666666667,2803
29,01,4.69882648436,4.69882648436,0.289872756373,16.0,2901
29,03,1.19810746192,1.21385897402,2.02989325026,10.625,2903
29,05,0.470193175123,0.470193175123,,9.75,2905
30,01,1.24560922534,1.23717143678,0.426283589172,12.4,3001
30,02,0.975215474329,1.67179795599,,9.0,3002
30,03,1.41950554904,1.4172642778,0.224218156143,12.7777777778,3003
31,01,0.920500906593,0.908645854169,0.340181573109,13.2777777778,3101
31,02,1.55650795268,1.55027011803,1.33714137226,11.6666666667,3102
31,03,2.25547683707,2.25547683707,,13.5,3103
32,01,1.93374727164,2.03376322299,5.58146292353,12.8844221106,3201
32,02,2.02333913978,1.98114477815,0.799037114723,12.7671232877,3202
32,03,1.40835078139,1.40908578612,0.609212034489,12.3727272727,3203
32,04,1.25061108308,1.22266065413,10.4276865305,11.3611111111,3204
32,06,1.46476484977,1.5307909288,0.98221547552,12.3272727273,3206
32,07,1.05301294681,1.0473367257,0.441999724267,11.3888888889,3207
